"annee";"code_postal_acheteur";"amm";"quantite_produit";"conditionnement";"eaj";"achat_etranger"
2022;"00000";"2080114";"1650";"l";"Non";"Non"
2022;"00000";"2080117";"1.75";"kg";"Non";"Non"
2022;"00000";"2080121";"3.12";"kg";"Non";"Non"
2022;"00000";"2080123";"7.5";"kg";"Non";"Non"
2022;"00000";"2080125";"1.4";"kg";"Non";"Non"
2022;"00000";"2080129";"1";"l";"Non";"Non"
2022;"00000";"2080136";"1";"kg";"Non";"Non"
2022;"00000";"2080145";"252";"l";"Non";"Non"
2022;"00000";"2080147";"20";"l";"Non";"Non"
2022;"00000";"2090001";"19";"l";"Non";"Non"
2022;"00000";"2090008";"0.69";"l";"Non";"Non"
2022;"00000";"2090011";"140.16";"l";"Non";"Non"
2022;"00000";"2090016";"347.74";"l";"Non";"Non"
2022;"00000";"2090019";"211";"l";"Non";"Non"
2022;"00000";"2090037";"58.7";"kg";"Non";"Non"
2022;"00000";"2090039";"75";"l";"Non";"Non"
2022;"00000";"2090041";"25.5";"kg";"Non";"Non"
2022;"00000";"2090042";"6";"kg";"Non";"Non"
2022;"00000";"2090050";"5191";"kg";"Non";"Non"
2022;"00000";"2090052";"75.12";"kg";"Non";"Non"
2022;"00000";"2090054";"0.50";"kg";"Non";"Non"
2022;"00000";"2090055";"40";"l";"Non";"Non"
2022;"00000";"2090057";"8.35";"kg";"Non";"Non"
2022;"00000";"2090063";"8.4";"kg";"Non";"Oui"
2022;"00000";"2090064";"160.4";"l";"Non";"Non"
2022;"00000";"2090072";"1.2";"kg";"Non";"Non"
2022;"00000";"2090079";"12.6";"l";"Oui";"Non"
2022;"00000";"2090080";"135";"l";"Non";"Non"
2022;"00000";"2090093";"2443.02";"l";"Non";"Non"
2022;"00000";"2090094";"313.3";"kg";"Non";"Non"
2022;"00000";"2090095";"200";"l";"Non";"Non"
2022;"00000";"2090096";"10";"l";"Non";"Non"
2022;"00000";"2090099";"5";"l";"Non";"Non"
2022;"00000";"2090101";"285";"l";"Non";"Oui"
2022;"00000";"2090105";"4350";"kg";"Non";"Non"
2022;"00000";"2090111";"35690.2605";"l";"Non";"Non"
2022;"00000";"2090112";"10";"l";"Non";"Non"
2022;"00000";"2090113";"1116.05";"l";"Non";"Non"
2022;"00000";"2090114";"13.5";"kg";"Non";"Non"
2022;"00000";"2090117";"216";"l";"Non";"Non"
2022;"00000";"2090118";"1220.87";"l";"Non";"Non"
2022;"00000";"2090119";"5165.07";"l";"Non";"Non"
2022;"00000";"2090123";"20";"l";"Non";"Non"
