annee,amm,substance,cas,quantite_substance,classification,classification_mention,achat_etranger
2022,2060084,pyraclostrobine,175013-18-0,7221.3672,Santé A,,Oui
2022,2060085,boscalid,188425-85-6,3299.086,Env A,,Oui
2022,2060085,kresoxim-methyl,143390-89-0,1649.543,CMR,,Oui
2022,2060086,pyraclostrobine,175013-18-0,161.842,Santé A,,Non
2022,2060088,benoxacor,98730-04-2,38717.527798,Autre,,Oui
2022,2060088,mesotrione,104206-82-8,77435.055596,CMR,,Oui
2022,2060088,s-metolachlore,87392-12-9,774350.55596,Env A,,Oui
2022,2060091,diflufenicanil,83164-33-4,6.25,Env B,,Non
2022,2060091,isoproturon,34123-59-6,50.0,CMR,,Non
2022,2060098,spinosad,168316-95-8,11874.1536,Env A,,Oui
2022,2060107,imazalil,35554-44-0,6.5,CMR,,Non
2022,2060108,ethephon,16672-87-0,3.456,Santé A,,Non
2022,2060111,imazalil,35554-44-0,156.0,CMR,,Non
2022,2060113,bifenazate,149877-41-8,536.6688,Env A,,Oui
2022,2060115,azoxystrobine,131860-33-8,650.664,Santé A,,Non
2022,2060115,cyproconazole,94361-06-5,260.2656,CMR,Exclusion,Non
2022,2060116,prothioconazole,178928-70-6,41099.4425,Env A,,Oui
2022,2060118,fluoxastrobine,361377-29-9,23496.57,CMR,,Oui
2022,2060118,prothioconazole,178928-70-6,46993.14,Env A,,Oui
2022,2060119,metsulfuron-methyl,74223-64-6,372.87,Env A,Substitution,Oui
2022,2060127,prothioconazole,178928-70-6,8100.71,Env A,,Oui
2022,2060129,oxyfluorfene,42874-03-3,0.00675,CMR,,Non
2022,2060129,pendimethaline,40487-42-1,0.0345,Env A,Substitution,Non
2022,2060130,spinosad,168316-95-8,1.37016,Env A,,Non
2022,2060131,"2,4-d",94-75-7,6503.49279,Env B,,Oui
2022,2060131,triclopyr,55335-06-3,7244.751108,Env B,,Oui
2022,2060132,spinosad,168316-95-8,221.04,Env A,,Non
2022,2060134,captane,133-06-2,131496.8,CMR,,Non
2022,2060172,tetraconazole,112281-77-3,4975.915,Env A,,Oui
2022,2060175,metaldehyde,108-62-3,6.636,CMR,,Non
2022,2060177,acide hydroxyacetique,79-14-1,9.32432,Autre,,Non
2022,2060192,soufre,7704-34-9,1.92,Autre,,Non
2022,2060194,tefluthrine,79538-32-2,9286.417949,Santé A,,Oui
2022,2070077,prothioconazole,178928-70-6,265.0,Env A,,Non
2022,2070088,metazachlore,67129-08-2,1102.5,CMR,,Non
2022,2070107,fosetyl,15845-66-6,4645.97,Autre,,Oui
2022,2070107,propamocarbe,24579-73-5,7943.11,Autre,,Oui
2022,2070108,heptamaloxyloglucan,870721-81-6,169.43364,Autre,,Non
2022,2070133,napropamide,15299-99-7,41471.1765,Env A,,Oui
2022,2070136,cymoxanil,57966-95-7,29.3208,CMR,,Non
2022,2070136,mancozebe,8018-01-7,340.8543,CMR,Exclusion,Non
2022,2070143,cuivre de l'oxychlorure de cuivre,1332-40-7,4560.0,Santé A,Substitution,Non
2022,2070143,cymoxanil,57966-95-7,456.0,CMR,,Non
2022,2070163,bentazone,25057-89-0,7.83,Env B,,Non
2022,2070184,chlorotoluron,15545-48-9,180836.464,CMR,,Oui
2022,2070184,diflufenicanil,83164-33-4,11302.279,Env B,,Oui
2022,2070185,fluazinam,79622-59-6,5152.525,CMR,,Oui
2022,2070190,fluazifop-p-butyl,79241-46-6,38.125,CMR,,Non
2022,2070193,cuivre de l'oxychlorure de cuivre,1332-40-7,1540.5,Santé A,Substitution,Non
2022,2070193,cymoxanil,57966-95-7,154.05,CMR,,Non
2022,2070196,thiamethoxam,153719-23-4,0.105,Env A,,Oui
2022,2070221,metazachlore,67129-08-2,62058.42,CMR,,Non
2022,2070221,quinmerac,90717-03-6,15514.605,Env A,,Non
2022,2070242,dithianon,3347-22-6,135.1,Env A,,Non
2022,2080004,trichoderma atroviride souche l-1237,,,Autre,,Non
2022,2080010,huile minerale paraffinique,8042-47-5,4658.4,Autre,,Oui
2022,2080018,acetamipride,135410-20-7,0.05225,Env B,,Non
2022,2080019,laminarine,9008-22-4,210.114,Autre,,Non
2022,2080020,flufenacet,142459-58-3,372.6,Env A,,Non
2022,2080023,benthiavalicarbe,177406-68-7,1.225,CMR,,Non
2022,2080023,mancozebe,8018-01-7,49.0,CMR,Exclusion,Non
2022,2080024,benthiavalicarbe,177406-68-7,0.525,CMR,,Non
2022,2080024,mancozebe,8018-01-7,21.0,CMR,Exclusion,Non
2022,2080025,butoxyde de piperonyle,51-03-6,7836.075,Autre,,Non
2022,2080025,cypermethrine,52315-07-8,2749.5,Env A,,Non
2022,2080026,nicosulfuron,111991-09-4,11812.8096,Env A,,Oui
